購入日,顧客ID,従業員数,商品カテゴリ,ID,単価,注文数,購入額
2020/1/3,CS008799,106,ミネラルウォーター類,PD02927,200,38,7600
2020/1/3,CS006662,13,果汁入り炭酸飲料（5%以上10%未満）,PD07202,150,38,5700
2020/1/3,CS007974,224,スポーツ飲料等,PD09632,120,230,27600
2020/1/3,CS000409,24,むぎ茶飲料,PD05609,150,27,4050
2020/1/3,CS007600,12,ミネラルウォーター類,PD04747,150,19,2850
2020/1/3,CS007974,224,ミネラルウォーター類,PD06758,150,226,33900
2020/1/3,CS008646,7,果実ジュース（果汁100%）,PD07269,200,9,1800
2020/1/3,CS004124,75,ミネラルウォーター類,PD06164,200,66,13200
2020/1/3,CS007776,131,コーラ炭酸飲料,PD08560,200,33,6600
2020/1/3,CS006094,122,ミネラルウォーター類,PD00226,120,117,14040
2020/1/3,CS003737,22,コーラ炭酸飲料,PD05464,200,12,2400
2020/1/3,CS007974,224,ミネラルウォーター類,PD06344,150,217,32550
2020/1/3,CS005968,82,ミネラルウォーター類,PD03422,100,85,8500
2020/1/3,CS007600,12,コーラ炭酸飲料,PD04877,150,21,3150
2020/1/4,CS005968,82,コーヒー入り乳飲料,PD00510,150,94,14100
2020/1/4,CS006094,122,むぎ茶飲料,PD07593,200,112,22400
2020/1/4,CS004465,54,ミネラルウォーター類,PD00839,150,25,3750
2020/1/4,CS004000,79,スポーツ飲料等,PD01374,200,30,6000
2020/1/4,CS003012,66,スポーツ飲料等,PD06886,150,36,5400
2020/1/4,CS007600,12,果実フレーバー／着色炭酸飲料,PD09664,150,11,1650
2020/1/4,CS005995,22,むぎ茶飲料,PD00493,200,45,9000
2020/1/4,CS004392,103,スポーツ飲料等,PD02959,100,100,10000
2020/1/4,CS007425,55,ミネラルウォーター類,PD07265,200,49,9800
2020/1/4,CS000730,70,むぎ茶飲料,PD07156,100,53,5300
2020/1/4,CS000183,122,果実フレーバー／着色炭酸飲料,PD00629,100,69,6900
2020/1/4,CS000896,79,栄養ドリンク炭酸飲料,PD03569,150,44,6600
2020/1/4,CS000821,25,果汁入り炭酸飲料（5%以上10%未満）,PD02589,150,23,3450
2020/1/4,CS003260,40,むぎ茶飲料,PD05618,150,33,4950
2020/1/4,CS000386,30,コーヒー,PD07035,200,30,6000
2020/1/4,CS007462,57,ミネラルウォーター類,PD00543,150,35,5250
2020/1/4,CS007040,242,果実フレーバー／着色炭酸飲料,PD05216,150,235,35250
2020/1/4,CS002266,23,果実ジュース（果汁100%）,PD05070,200,41,8200
2020/1/4,CS006094,122,ミネラルウォーター類,PD09703,150,42,6300
2020/1/4,CS008306,113,むぎ茶飲料,PD03353,150,46,6900
2020/1/4,CS000734,57,むぎ茶飲料,PD07733,100,47,4700
2020/1/5,CS007462,57,ミネラルウォーター類,PD05843,150,39,5850
2020/1/5,CS007776,131,むぎ茶飲料,PD04402,150,146,21900
2020/1/5,CS000730,70,豆乳類等,PD07123,200,47,9400
2020/1/5,CS000030,80,コーラ炭酸飲料,PD06924,100,41,4100
2020/1/5,CS003958,53,コーラ炭酸飲料,PD01155,120,50,6000
2020/1/5,CS007198,80,ミネラルウォーター類,PD01858,200,85,17000
2020/1/5,CS006358,66,コーヒー,PD04081,150,62,9300
2020/1/5,CS003377,7,コーヒー,PD03374,200,33,6600
2020/1/5,CS005564,126,ミネラルウォーター類,PD01224,100,130,13000
2020/1/5,CS005188,21,ミネラルウォーター類,PD05611,200,27,5400
2020/1/5,CS007198,80,ミネラルウォーター類,PD08400,150,83,12450
2020/1/5,CS001621,58,ミネラルウォーター類,PD01817,150,55,8250
2020/1/5,CS005472,152,ブレンド茶飲料,PD06523,100,53,5300
2020/1/5,CS006237,141,むぎ茶飲料,PD04005,150,33,4950
2020/1/5,CS007379,231,スポーツ飲料等,PD03131,200,217,43400
2020/1/5,CS007198,80,ミネラルウォーター類,PD09264,150,84,12600
2020/1/5,CS005995,22,ミネラルウォーター類,PD02927,200,25,5000
2020/1/5,CS004465,54,ミネラルウォーター類,PD01539,150,22,3300
2020/1/6,CS005188,21,ミネラルウォーター類,PD00469,150,23,3450
2020/1/6,CS008858,100,ミネラルウォーター類,PD04335,200,45,9000
2020/1/6,CS008858,100,果汁入り炭酸飲料（5%以上10%未満）,PD01530,150,41,6150
2020/1/6,CS008076,18,スポーツ飲料等,PD08551,150,5,750
2020/1/6,CS004234,126,ミネラルウォーター類,PD07592,200,134,26800
2020/1/6,CS006724,51,ミネラルウォーター類,PD06376,200,48,9600
2020/1/6,CS003260,40,コーラ炭酸飲料,PD07214,150,31,4650
2020/1/6,CS005472,152,ミネラルウォーター類,PD02831,200,153,30600
2020/1/6,CS006094,122,ミネラルウォーター類,PD04956,200,33,6600
2020/1/6,CS008306,113,スポーツ飲料等,PD03718,120,114,13680
2020/1/6,CS000557,64,ミネラルウォーター類,PD09740,200,56,11200
2020/1/6,CS003971,10,スポーツ飲料等,PD09274,150,17,2550
2020/1/6,CS000557,64,ミネラルウォーター類,PD04833,150,47,7050
2020/1/6,CS001842,32,スポーツ飲料等,PD03657,150,49,7350
2020/1/7,CS000730,70,スポーツ飲料等,PD02131,150,86,12900
2020/1/7,CS001690,14,むぎ茶飲料,PD05222,150,21,3150
2020/1/7,CS008625,7,栄養ドリンク炭酸飲料,PD01469,200,44,8800
2020/1/7,CS001036,26,果実フレーバー／着色炭酸飲料,PD09664,150,29,4350
2020/1/7,CS000386,30,ミネラルウォーター類,PD06190,100,24,2400
2020/1/7,CS007425,55,ミネラルウォーター類,PD01000,150,74,11100
2020/1/7,CS006627,58,コーヒー,PD09438,150,44,6600
2020/1/7,CS000030,80,ミネラルウォーター類,PD06404,200,52,10400
2020/1/7,CS004465,54,ミネラルウォーター類,PD03790,150,72,10800
2020/1/7,CS008430,22,果実ジュース（果汁100%）,PD06418,150,50,7500
2020/1/7,CS003958,53,ブレンド茶飲料,PD03952,150,39,5850
2020/1/7,CS005432,320,コーラ炭酸飲料,PD04404,120,316,37920
2020/1/7,CS001417,22,コーラ炭酸飲料,PD07690,120,36,4320
2020/1/7,CS008910,400,むぎ茶飲料,PD07156,100,42,4200
2020/1/7,CS006190,33,コーラ炭酸飲料,PD06908,200,34,6800
2020/1/7,CS004000,79,ミネラルウォーター類,PD03789,200,49,9800
2020/1/7,CS005472,152,ミネラルウォーター類,PD01503,100,158,15800
2020/1/7,CS006627,58,コーヒー,PD04409,150,52,7800
2020/1/7,CS003958,53,果汁入り炭酸飲料（5%以上10%未満）,PD08271,200,42,8400
2020/1/7,CS005254,106,スポーツ飲料等,PD05166,150,57,8550
2020/1/7,CS005968,82,果実ジュース（果汁100%）,PD08697,150,27,4050
2020/1/7,CS007425,55,栄養ドリンク炭酸飲料,PD06749,200,48,9600
2020/1/7,CS009706,16,スポーツ飲料等,PD05955,200,18,3600
2020/1/8,CS003958,53,ミネラルウォーター類,PD08401,120,53,6360
2020/1/8,CS007198,80,むぎ茶飲料,PD06197,200,47,9400
2020/1/8,CS007425,55,ミネラルウォーター類,PD02825,150,44,6600
2020/1/8,CS008910,400,むぎ茶飲料,PD08826,200,397,79400
2020/1/8,CS000409,24,ブレンド茶飲料,PD00516,120,25,3000
2020/1/8,CS008365,16,むぎ茶飲料,PD08956,200,33,6600
2020/1/8,CS000183,122,ミネラルウォーター類,PD07114,120,117,14040
2020/1/8,CS005968,82,スポーツ飲料等,PD01441,200,37,7400
2020/1/8,CS008858,100,ミネラルウォーター類,PD09384,150,57,8550
2020/1/8,CS005896,24,ミネラルウォーター類,PD09941,200,37,7400
2020/1/8,CS004234,126,コーラ炭酸飲料,PD06908,200,48,9600
2020/1/8,CS008625,7,コーラ炭酸飲料,PD08266,150,17,2550
2020/1/8,CS006358,66,ミネラルウォーター類,PD01890,100,55,5500
2020/1/8,CS003277,7,ミネラルウォーター類,PD06524,150,46,6900
2020/1/8,CS000183,122,ミネラルウォーター類,PD05085,100,106,10600
2020/1/8,CS008625,7,ウーロン系飲料,PD03896,150,46,6900
2020/1/8,CS006237,141,ミネラルウォーター類,PD02926,150,41,6150
2020/1/8,CS005896,24,ミネラルウォーター類,PD04412,150,56,8400
2020/1/8,CS004465,54,果実ジュース（果汁100%）,PD05988,150,58,8700
2020/1/9,CS006237,141,コーヒー,PD03697,150,137,20550
2020/1/9,CS006237,141,果実ジュース（果汁100%）,PD00654,150,36,5400
2020/1/9,CS008430,22,コーラ炭酸飲料,PD05842,150,38,5700
2020/1/9,CS005968,82,コーヒー入り乳飲料,PD00510,150,73,10950
2020/1/9,CS008239,159,果汁入り炭酸飲料（5%以上10%未満）,PD00642,150,169,25350
2020/1/9,CS008799,106,ミネラルウォーター類,PD03812,200,29,5800
2020/1/9,CS000535,193,ブレンド茶飲料,PD06822,150,14,2100
2020/1/9,CS001690,14,ミネラルウォーター類,PD01383,150,42,6300
2020/1/9,CS000778,18,コーヒー,PD08942,150,2,300
2020/1/9,CS001842,32,ミネラルウォーター類,PD04815,200,33,6600
2020/1/9,CS003737,22,コーラ炭酸飲料,PD01942,100,4,400
2020/1/9,CS008999,43,コーラ炭酸飲料,PD06931,150,55,8250
2020/1/9,CS007600,12,ミネラルウォーター類,PD06836,200,12,2400
2020/1/9,CS007383,93,ブレンド茶飲料,PD01234,150,82,12300
2020/1/9,CS003971,10,栄養ドリンク炭酸飲料,PD07494,120,54,6480
2020/1/9,CS007462,57,コーヒー,PD01117,100,37,3700
2020/1/9,CS002266,23,コーラ炭酸飲料,PD03912,200,43,8600
2020/1/10,CS008646,7,むぎ茶飲料,PD08113,150,52,7800
2020/1/10,CS008239,159,スポーツ飲料等,PD09591,150,167,25050
2020/1/10,CS001036,26,コーラ炭酸飲料,PD00483,150,34,5100
2020/1/10,CS007974,224,ミネラルウォーター類,PD04412,150,30,4500
2020/1/10,CS004658,32,果汁入り炭酸飲料（5%以上10%未満）,PD07739,200,13,2600
2020/1/10,CS007425,55,ミネラルウォーター類,PD05232,200,56,11200
2020/1/10,CS000769,94,豆乳類等,PD09397,150,87,13050
2020/1/10,CS003260,40,むぎ茶飲料,PD03449,150,28,4200
2020/1/10,CS004658,32,コーヒー,PD00935,150,24,3600
2020/1/10,CS001621,58,コーヒー,PD08409,120,30,3600
2020/1/10,CS000896,79,果実フレーバー／着色炭酸飲料,PD02597,150,91,13650
2020/1/10,CS007600,12,むぎ茶飲料,PD08956,200,23,4600
2020/1/10,CS001621,58,栄養ドリンク炭酸飲料,PD02920,150,19,2850
2020/1/10,CS009530,108,むぎ茶飲料,PD01565,150,38,5700
2020/1/10,CS000386,30,ミネラルウォーター類,PD07730,150,52,7800
2020/1/11,CS000896,79,栄養ドリンク炭酸飲料,PD07470,200,90,18000
2020/1/11,CS003277,7,コーヒー,PD04548,150,60,9000
2020/1/11,CS005679,124,ミネラルウォーター類,PD01806,150,38,5700
2020/1/11,CS000778,18,スポーツ飲料等,PD02215,100,10,1000
2020/1/11,CS007979,454,むぎ茶飲料,PD08826,200,49,9800
2020/1/11,CS005564,126,コーヒー入り乳飲料,PD00518,150,124,18600
2020/1/12,CS007425,55,コーラ炭酸飲料,PD09635,150,45,6750
2020/1/12,CS007982,204,ミネラルウォーター類,PD03504,150,214,32100
2020/1/12,CS005432,320,むぎ茶飲料,PD04570,120,44,5280
2020/1/12,CS009123,397,豆乳類等,PD08805,150,383,57450
2020/1/12,CS000557,64,ミネラルウォーター類,PD04335,200,45,9000
2020/1/12,CS000409,24,コーヒー,PD05595,120,62,7440
2020/1/12,CS004897,186,果汁入り飲料（50%以上100%未満）,PD03033,150,189,28350
2020/1/12,CS007150,8,コーヒー,PD00073,150,19,2850
2020/1/12,CS005896,24,スポーツ飲料等,PD09123,150,41,6150
2020/1/12,CS003737,22,ブレンド茶飲料,PD00224,150,50,7500
2020/1/12,CS000030,80,ウーロン系飲料,PD09194,150,87,13050
2020/1/12,CS001621,58,ミネラルウォーター類,PD09605,200,58,11600
2020/1/12,CS001417,22,果実ジュース（果汁100%）,PD07120,150,40,6000
2020/1/12,CS008540,152,ミネラルウォーター類,PD01045,200,58,11600
2020/1/12,CS004897,186,ミネラルウォーター類,PD03943,150,187,28050
2020/1/12,CS004392,103,豆乳類等,PD08939,200,36,7200
2020/1/12,CS003184,259,むぎ茶飲料,PD05618,150,234,35100
2020/1/12,CS009137,80,栄養ドリンク炭酸飲料,PD07494,120,86,10320
2020/1/12,CS007379,231,スポーツ飲料等,PD05166,150,234,35100
2020/1/12,CS000734,57,スポーツ飲料等,PD01804,150,61,9150
2020/1/12,CS007776,131,ミネラルウォーター類,PD09268,100,135,13500
2020/1/12,CS008239,159,コーラ炭酸飲料,PD09485,150,53,7950
2020/1/12,CS005472,152,ミネラルウォーター類,PD00651,150,27,4050
2020/1/12,CS007279,282,スポーツ飲料等,PD09282,150,284,42600
2020/1/12,CS000386,30,コーヒー,PD00023,150,19,2850
2020/1/13,CS009137,80,ミネラルウォーター類,PD03789,200,99,19800
2020/1/13,CS008646,7,ミネラルウォーター類,PD01075,150,44,6600
2020/1/13,CS001417,22,ミネラルウォーター類,PD02358,150,33,4950
2020/1/13,CS006094,122,むぎ茶飲料,PD03716,150,41,6150
2020/1/13,CS007279,282,スポーツ飲料等,PD08515,200,45,9000
2020/1/13,CS005968,82,ブレンド茶飲料,PD06266,100,62,6200
2020/1/13,CS007462,57,ウーロン系飲料,PD01713,200,59,11800
2020/1/13,CS005472,152,スポーツ飲料等,PD07825,100,151,15100
2020/1/13,CS008239,159,スポーツ飲料等,PD06470,150,164,24600
2020/1/13,CS000769,94,豆乳類等,PD00195,200,41,8200
2020/1/13,CS007462,57,果実ジュース（果汁100%）,PD03678,200,30,6000
2020/1/13,CS005679,124,果実ジュース（果汁100%）,PD01898,120,55,6600
2020/1/13,CS006724,51,ミネラルウォーター類,PD09719,200,38,7600
2020/1/13,CS005761,122,ウーロン系飲料,PD01713,200,43,8600
2020/1/14,CS005564,126,果汁入り炭酸飲料（5%以上10%未満）,PD00058,150,120,18000
2020/1/14,CS005564,126,コーヒー,PD09544,100,51,5100
2020/1/14,CS007974,224,ミネラルウォーター類,PD03475,200,216,43200
2020/1/14,CS001690,14,コーヒー入り乳飲料,PD00518,150,24,3600
2020/1/14,CS000535,193,コーヒー,PD08862,200,41,8200
2020/1/14,CS008646,7,ミネラルウォーター類,PD07493,200,21,4200
2020/1/14,CS005564,126,スポーツ飲料等,PD00829,100,47,4700
2020/1/14,CS001611,68,ミネラルウォーター類,PD01806,150,36,5400
2020/1/14,CS000396,23,果汁入り炭酸飲料（5%以上10%未満）,PD09792,200,58,11600
2020/1/15,CS004465,54,ミネラルウォーター類,PD04896,150,42,6300
2020/1/15,CS008540,152,ミネラルウォーター類,PD09096,150,51,7650
2020/1/15,CS006724,51,コーヒー,PD05400,200,40,8000
2020/1/15,CS007600,12,コーヒー,PD04473,200,54,10800
2020/1/15,CS007776,131,果汁入り炭酸飲料（5%以上10%未満）,PD05961,200,139,27800
2020/1/15,CS004000,79,むぎ茶飲料,PD06214,200,50,10000
2020/1/15,CS003277,7,むぎ茶飲料,PD05276,100,49,4900
2020/1/15,CS007131,71,果実ジュース（果汁100%）,PD09024,150,60,9000
2020/1/15,CS007982,204,ブレンド茶飲料,PD07614,200,203,40600
2020/1/15,CS006334,98,ミネラルウォーター類,PD00392,200,46,9200
2020/1/15,CS005896,24,コーヒー,PD07551,200,40,8000
2020/1/15,CS006334,98,ウーロン系飲料,PD01272,100,42,4200
2020/1/15,CS000535,193,ミネラルウォーター類,PD05472,200,42,8400
2020/1/15,CS001842,32,コーヒー,PD08975,120,38,4560
2020/1/15,CS005472,152,果汁入り炭酸飲料（5%以上10%未満）,PD06386,200,42,8400
2020/1/15,CS000769,94,ミネラルウォーター類,PD01503,100,24,2400
2020/1/15,CS008430,22,コーヒー,PD07524,200,43,8600
2020/1/15,CS000030,80,ミネラルウォーター類,PD01775,200,67,13400
2020/1/15,CS000734,57,ミネラルウォーター類,PD04159,150,53,7950
2020/1/15,CS003737,22,ミネラルウォーター類,PD05548,200,49,9800
2020/1/15,CS007379,231,ミネラルウォーター類,PD05474,200,37,7400
2020/1/15,CS007198,80,ミネラルウォーター類,PD07293,200,63,12600
2020/1/16,CS008076,18,ミネラルウォーター類,PD08676,150,42,6300
2020/1/16,CS003260,40,ミネラルウォーター類,PD02927,200,43,8600
2020/1/16,CS001611,68,ブレンド茶飲料,PD08661,150,49,7350
2020/1/16,CS007974,224,むぎ茶飲料,PD04005,150,228,34200
2020/1/16,CS000557,64,果実フレーバー／着色炭酸飲料,PD07299,200,75,15000
2020/1/16,CS000183,122,むぎ茶飲料,PD04005,150,32,4800
2020/1/16,CS008101,23,むぎ茶飲料,PD03699,150,23,3450
2020/1/16,CS007600,12,スポーツ飲料等,PD01355,150,23,3450
2020/1/16,CS005761,122,ミネラルウォーター類,PD04251,150,32,4800
2020/1/16,CS007462,57,栄養ドリンク炭酸飲料,PD06749,200,55,11000
2020/1/16,CS006237,141,ウーロン系飲料,PD06052,150,29,4350
2020/1/16,CS005472,152,果実ジュース（果汁100%）,PD05070,200,136,27200
2020/1/16,CS007379,231,コーヒー,PD06798,200,25,5000
2020/1/16,CS004465,54,スポーツ飲料等,PD05166,150,50,7500
2020/1/16,CS008910,400,コーヒー,PD00144,150,400,60000
2020/1/16,CS003277,7,ミネラルウォーター類,PD06927,120,38,4560
2020/1/16,CS009473,38,ミネラルウォーター類,PD09596,150,43,6450
2020/1/17,CS007131,71,果汁入り炭酸飲料（5%以上10%未満）,PD06538,150,44,6600
2020/1/17,CS005761,122,コーヒー,PD00144,150,32,4800
2020/1/17,CS005564,126,ミネラルウォーター類,PD02919,200,124,24800
2020/1/17,CS000396,23,果汁入り炭酸飲料（5%以上10%未満）,PD06667,150,37,5550
2020/1/17,CS000965,6,果汁入り炭酸飲料（5%以上10%未満）,PD03216,100,39,3900
2020/1/17,CS004897,186,コーラ炭酸飲料,PD04464,100,44,4400
2020/1/17,CS007982,204,コーラ炭酸飲料,PD03895,150,210,31500
2020/1/17,CS008625,7,ミネラルウォーター類,PD01217,200,36,7200
2020/1/17,CS003737,22,ブレンド茶飲料,PD00901,200,29,5800
2020/1/17,CS000921,24,果汁入り炭酸飲料（5%以上10%未満）,PD00058,150,31,4650
2020/1/17,CS007462,57,スポーツ飲料等,PD07020,200,32,6400
2020/1/17,CS003260,40,スポーツ飲料等,PD00268,100,55,5500
2020/1/17,CS007131,71,むぎ茶飲料,PD08362,200,27,5400
2020/1/18,CS008858,100,ミネラルウォーター類,PD01146,150,21,3150
2020/1/18,CS008910,400,スポーツ飲料等,PD05418,120,41,4920
2020/1/18,CS005254,106,むぎ茶飲料,PD04140,150,107,16050
2020/1/18,CS005254,106,スポーツ飲料等,PD03751,150,91,13650
2020/1/18,CS004658,32,コーヒー入り乳飲料,PD07789,150,44,6600
2020/1/18,CS008999,43,スポーツ飲料等,PD05236,200,39,7800
2020/1/18,CS000662,67,ミネラルウォーター類,PD03218,200,75,15000
2020/1/18,CS003260,40,果実ジュース（果汁100%）,PD02708,120,43,5160
2020/1/18,CS000386,30,むぎ茶飲料,PD02492,150,23,3450
2020/1/18,CS004234,126,果汁入り炭酸飲料（5%以上10%未満）,PD08271,200,30,6000
2020/1/18,CS001842,32,ミネラルウォーター類,PD02927,200,22,4400
2020/1/18,CS009473,38,ブレンド茶飲料,PD06939,150,38,5700
2020/1/18,CS007979,454,コーラ炭酸飲料,PD08560,200,448,89600
2020/1/18,CS007412,148,豆乳類等,PD04858,200,42,8400
2020/1/18,CS004971,45,コーヒー,PD07954,150,40,6000
2020/1/18,CS001611,68,ミネラルウォーター類,PD09033,120,34,4080
2020/1/19,CS007462,57,ブレンド茶飲料,PD01488,150,38,5700
2020/1/19,CS008625,7,スポーツ飲料等,PD01355,150,2,300
2020/1/19,CS006190,33,ウーロン系飲料,PD09131,150,24,3600
2020/1/19,CS003925,40,ミネラルウォーター類,PD06265,150,52,7800
2020/1/19,CS004000,79,スポーツ飲料等,PD04107,120,94,11280
2020/1/19,CS008540,152,ミネラルウォーター類,PD07337,200,124,24800
2020/1/19,CS005114,86,ミネラルウォーター類,PD02575,200,25,5000
2020/1/19,CS007131,71,ウーロン系飲料,PD09251,200,25,5000
2020/1/19,CS007412,148,コーラ炭酸飲料,PD02933,200,145,29000
2020/1/19,CS004658,32,ミネラルウォーター類,PD02663,150,62,9300
2020/1/19,CS000396,23,コーヒー入り乳飲料,PD03351,200,31,6200
2020/1/19,CS007040,242,ウーロン系飲料,PD06718,200,39,7800
2020/1/19,CS007379,231,ミネラルウォーター類,PD06190,100,238,23800
2020/1/19,CS008540,152,ブレンド茶飲料,PD06523,100,38,3800
2020/1/19,CS007600,12,果汁入り飲料（50%以上100%未満）,PD03033,150,34,5100
2020/1/19,CS007130,87,むぎ茶飲料,PD03353,150,42,6300
2020/1/20,CS009706,16,むぎ茶飲料,PD01122,200,46,9200
2020/1/20,CS000730,70,ミネラルウォーター類,PD01806,150,63,9450
2020/1/20,CS005472,152,果汁入り炭酸飲料（5%以上10%未満）,PD06389,200,32,6400
2020/1/20,CS004897,186,ウーロン系飲料,PD03168,200,29,5800
2020/1/20,CS006237,141,ブレンド茶飲料,PD00996,150,149,22350
2020/1/20,CS006726,80,ミネラルウォーター類,PD03789,200,51,10200
2020/1/20,CS008365,16,むぎ茶飲料,PD09600,150,21,3150
2020/1/20,CS005432,320,ブレンド茶飲料,PD08651,150,28,4200
2020/1/20,CS000030,80,豆乳類等,PD04762,120,43,5160
2020/1/20,CS007150,8,むぎ茶飲料,PD07733,100,15,1500
2020/1/20,CS005564,126,ミネラルウォーター類,PD02952,150,26,3900
2020/1/20,CS007150,8,豆乳類等,PD04762,120,38,4560
2020/1/20,CS000921,24,豆乳類等,PD08256,150,50,7500
2020/1/20,CS008646,7,スポーツ飲料等,PD03131,200,39,7800
2020/1/20,CS004124,75,コーラ炭酸飲料,PD09504,150,91,13650
2020/1/20,CS006627,58,コーヒー,PD07524,200,52,10400
2020/1/20,CS008365,16,果実ジュース（果汁100%）,PD05344,120,17,2040
2020/1/21,CS000965,6,コーヒー,PD03543,150,9,1350
2020/1/21,CS004392,103,コーヒー,PD07618,150,89,13350
2020/1/21,CS009706,16,コーヒー,PD01930,150,37,5550
2020/1/21,CS008101,23,コーヒー,PD07551,200,49,9800
2020/1/21,CS003184,259,むぎ茶飲料,PD09584,150,47,7050
2020/1/21,CS007040,242,果実ジュース（果汁100%）,PD05070,200,65,13000
2020/1/21,CS000821,25,コーヒー,PD04473,200,6,1200
2020/1/21,CS008239,159,栄養ドリンク炭酸飲料,PD08224,200,36,7200
2020/1/21,CS000734,57,ミネラルウォーター類,PD00402,120,45,5400
2020/1/21,CS001611,68,コーラ炭酸飲料,PD06352,200,50,10000
2020/1/21,CS006190,33,スポーツ飲料等,PD05664,150,40,6000
2020/1/21,CS004361,71,コーヒー,PD01880,150,22,3300
2020/1/21,CS000183,122,スポーツ飲料等,PD09619,120,34,4080
2020/1/21,CS007198,80,ウーロン系飲料,PD06052,150,70,10500
2020/1/21,CS001036,26,ミネラルウォーター類,PD05089,150,26,3900
2020/1/21,CS009123,397,果実ジュース（果汁100%）,PD06418,150,36,5400
2020/1/21,CS000896,79,ミネラルウォーター類,PD02081,150,74,11100
2020/1/22,CS000183,122,果汁入り炭酸飲料（5%以上10%未満）,PD09372,120,108,12960
2020/1/22,CS000965,6,コーヒー,PD09813,200,5,1000
2020/1/22,CS008858,100,ミネラルウォーター類,PD07759,200,33,6600
2020/1/22,CS000386,30,コーヒー,PD07618,150,34,5100
2020/1/22,CS007982,204,ウーロン系飲料,PD06195,200,196,39200
2020/1/22,CS000965,6,果実ジュース（果汁100%）,PD05267,150,3,450
2020/1/22,CS000921,24,コーラ炭酸飲料,PD08912,150,12,1800
2020/1/22,CS008101,23,ブレンド茶飲料,PD03952,150,20,3000
2020/1/22,CS007600,12,スポーツ飲料等,PD02652,100,22,2200
2020/1/22,CS008910,400,ウーロン系飲料,PD09251,200,388,77600
2020/1/22,CS004465,54,スポーツ飲料等,PD00829,100,19,1900
2020/1/22,CS009530,108,果汁入り炭酸飲料（5%以上10%未満）,PD09792,200,29,5800
2020/1/22,CS008646,7,スポーツ飲料等,PD09274,150,43,6450
2020/1/22,CS008858,100,ミネラルウォーター類,PD03107,200,106,21200
2020/1/22,CS008646,7,ブレンド茶飲料,PD08640,100,46,4600
2020/1/23,CS005472,152,ミネラルウォーター類,PD00113,200,33,6600
2020/1/23,CS007982,204,コーラ炭酸飲料,PD09504,150,201,30150
2020/1/23,CS001417,22,ミネラルウォーター類,PD02895,200,26,5200
2020/1/23,CS003925,40,むぎ茶飲料,PD06596,150,29,4350
2020/1/23,CS005432,320,栄養ドリンク炭酸飲料,PD00807,100,30,3000
2020/1/23,CS008625,7,むぎ茶飲料,PD02628,100,24,2400
