顧客ID,メニューID,来店日,お支払い額,クーポン
CS01135,P006,2021-01-02,360,なし
CS01135,P023,2021-01-02,600,なし
CS01143,P003,2021-01-02,361,クーポンB
CS02819,P003,2021-01-02,380,なし
CS02362,P014,2021-01-02,510,なし
CS02362,P020,2021-01-02,523,クーポンB
CS02362,P012,2021-01-02,520,なし
CS02362,P013,2021-01-02,550,なし
CS00578,P010,2021-01-03,220,なし
CS00578,P011,2021-01-03,250,なし
CS00578,P017,2021-01-03,380,なし
CS00578,P007,2021-01-03,400,なし
CS00578,P016,2021-01-03,350,なし
CS00578,P017,2021-01-03,380,なし
CS00578,P012,2021-01-03,520,なし
CS00578,P018,2021-01-03,420,なし
CS02714,P017,2021-01-03,280,クーポンA
CS02714,P008,2021-01-03,410,なし
CS02714,P020,2021-01-03,550,なし
CS02714,P008,2021-01-03,410,なし
CS02714,P014,2021-01-03,510,なし
CS01780,P024,2021-01-03,630,なし
CS01967,P007,2021-01-04,400,なし
CS01967,P020,2021-01-04,523,クーポンB
CS01967,P005,2021-01-04,380,なし
CS01967,P003,2021-01-04,380,なし
CS02210,P010,2021-01-04,220,なし
CS02210,P016,2021-01-04,350,なし
CS02210,P016,2021-01-04,350,なし
CS02210,P003,2021-01-04,361,クーポンB
CS02210,P021,2021-01-04,551,クーポンB
CS02263,P002,2021-01-04,420,なし
CS02263,P010,2021-01-04,120,クーポンA
CS02263,P000,2021-01-04,580,なし
CS02263,P022,2021-01-04,570,なし
CS02263,P012,2021-01-04,520,なし
CS02263,P023,2021-01-04,600,なし
CS02184,P007,2021-01-04,400,なし
CS00898,P006,2021-01-04,360,なし
CS00898,P013,2021-01-04,550,なし
CS00898,P015,2021-01-04,510,なし
CS00898,P003,2021-01-04,380,なし
CS00898,P011,2021-01-04,238,クーポンB
CS00898,P005,2021-01-04,380,なし
CS00898,P020,2021-01-04,550,なし
CS00898,P020,2021-01-04,550,なし
CS00898,P001,2021-01-04,390,なし
CS00898,P022,2021-01-04,570,なし
CS00898,P021,2021-01-04,580,なし
CS00898,P020,2021-01-04,550,なし
CS00898,P003,2021-01-04,380,なし
CS00898,P013,2021-01-04,550,なし
CS00898,P000,2021-01-04,580,なし
CS00898,P023,2021-01-04,600,なし
CS00898,P024,2021-01-04,630,なし
CS00898,P014,2021-01-04,510,なし
CS00898,P020,2021-01-04,550,なし
CS00898,P000,2021-01-04,580,なし
CS01201,P017,2021-01-04,380,なし
CS01201,P017,2021-01-04,380,なし
CS00377,P005,2021-01-04,380,なし
CS00245,P024,2021-01-04,630,なし
CS02965,P014,2021-01-04,510,なし
CS02277,P023,2021-01-04,500,クーポンA
CS01234,P023,2021-01-04,600,なし
CS01234,P010,2021-01-04,120,クーポンA
CS01234,P005,2021-01-04,380,なし
CS01657,P003,2021-01-04,380,なし
CS01657,P013,2021-01-04,523,クーポンB
CS01657,P023,2021-01-04,600,なし
CS01657,P006,2021-01-04,360,なし
CS01657,P023,2021-01-04,600,なし
CS01657,P005,2021-01-04,380,なし
CS01657,P009,2021-01-04,290,なし
CS01657,P017,2021-01-04,380,なし
CS01657,P017,2021-01-04,380,なし
CS01657,P010,2021-01-04,220,なし
CS01657,P023,2021-01-04,600,なし
CS01657,P014,2021-01-04,510,なし
CS01657,P022,2021-01-04,570,なし
CS01657,P019,2021-01-04,450,なし
CS01657,P000,2021-01-04,580,なし
CS01657,P007,2021-01-04,400,なし
CS01657,P017,2021-01-04,380,なし
CS01657,P012,2021-01-04,520,なし
CS01657,P016,2021-01-04,350,なし
CS01657,P004,2021-01-04,380,なし
CS01657,P004,2021-01-04,380,なし
CS01657,P008,2021-01-04,410,なし
CS01657,P022,2021-01-04,570,なし
CS01657,P024,2021-01-04,630,なし
CS01657,P015,2021-01-04,510,なし
CS01657,P004,2021-01-04,361,クーポンB
CS01657,P006,2021-01-04,342,クーポンB
CS01657,P021,2021-01-04,580,なし
CS01657,P018,2021-01-04,320,クーポンA
CS01657,P010,2021-01-04,220,なし
CS02673,P018,2021-01-04,420,なし
CS02673,P006,2021-01-04,360,なし
CS02673,P023,2021-01-04,600,なし
CS02673,P010,2021-01-04,220,なし
CS02673,P023,2021-01-04,600,なし
CS00369,P013,2021-01-05,550,なし
CS00369,P022,2021-01-05,570,なし
CS00369,P001,2021-01-05,390,なし
CS00369,P005,2021-01-05,380,なし
CS00369,P004,2021-01-05,280,クーポンA
CS00369,P020,2021-01-05,550,なし
CS00369,P011,2021-01-05,250,なし
CS02080,P024,2021-01-05,630,なし
CS02907,P012,2021-01-05,520,なし
CS01430,P012,2021-01-05,520,なし
CS02052,P024,2021-01-05,630,なし
CS00312,P006,2021-01-05,360,なし
CS00312,P011,2021-01-05,250,なし
CS00312,P009,2021-01-05,290,なし
CS01938,P021,2021-01-05,580,なし
CS01938,P005,2021-01-05,380,なし
CS02123,P017,2021-01-05,380,なし
CS02123,P019,2021-01-05,450,なし
CS02123,P002,2021-01-05,420,なし
CS02123,P007,2021-01-05,400,なし
CS02649,P022,2021-01-06,542,クーポンB
CS02649,P015,2021-01-06,510,なし
CS02649,P019,2021-01-06,450,なし
CS02649,P025,2021-01-06,870,なし
CS02649,P011,2021-01-06,250,なし
CS02649,P013,2021-01-06,550,なし
CS02649,P017,2021-01-06,361,クーポンB
CS02238,P019,2021-01-06,450,なし
CS02238,P018,2021-01-06,420,なし
CS02238,P016,2021-01-06,350,なし
CS02238,P009,2021-01-06,290,なし
CS01228,P020,2021-01-06,450,クーポンA
CS01228,P012,2021-01-06,520,なし
CS01228,P013,2021-01-06,550,なし
CS01228,P023,2021-01-06,600,なし
CS02949,P017,2021-01-06,380,なし
CS02541,P018,2021-01-06,420,なし
CS02541,P019,2021-01-06,450,なし
CS02541,P017,2021-01-06,380,なし
CS02541,P019,2021-01-06,450,なし
CS00543,P000,2021-01-06,580,なし
CS00543,P001,2021-01-06,390,なし
CS00543,P018,2021-01-06,420,なし
CS00543,P014,2021-01-06,510,なし
CS00543,P023,2021-01-06,600,なし
CS00543,P002,2021-01-06,420,なし
CS00543,P014,2021-01-06,510,なし
CS00543,P024,2021-01-06,630,なし
CS01812,P001,2021-01-06,390,なし
CS00978,P007,2021-01-06,400,なし
CS00978,P004,2021-01-06,380,なし
CS01020,P016,2021-01-06,250,クーポンA
CS01020,P016,2021-01-06,350,なし
CS02328,P004,2021-01-06,380,なし
CS02328,P002,2021-01-06,420,なし
CS00682,P024,2021-01-06,630,なし
CS00682,P003,2021-01-06,380,なし
CS00682,P002,2021-01-06,420,なし
CS00157,P019,2021-01-07,450,なし
CS00157,P009,2021-01-07,290,なし
CS00157,P013,2021-01-07,550,なし
CS00157,P006,2021-01-07,360,なし
CS00157,P000,2021-01-07,580,なし
CS00157,P013,2021-01-07,550,なし
CS00157,P019,2021-01-07,450,なし
CS00157,P004,2021-01-07,380,なし
CS00157,P007,2021-01-07,400,なし
CS00157,P024,2021-01-07,630,なし
CS00157,P002,2021-01-07,420,なし
CS00157,P017,2021-01-07,361,クーポンB
CS00157,P024,2021-01-07,630,なし
CS00157,P022,2021-01-07,470,クーポンA
CS00157,P017,2021-01-07,380,なし
CS00157,P025,2021-01-07,870,なし
CS00157,P022,2021-01-07,570,なし
CS00157,P021,2021-01-07,580,なし
CS00157,P016,2021-01-07,350,なし
CS00112,P016,2021-01-07,350,なし
CS00112,P007,2021-01-07,400,なし
CS00112,P021,2021-01-07,580,なし
CS00112,P013,2021-01-07,550,なし
CS00112,P002,2021-01-07,420,なし
CS01945,P009,2021-01-07,290,なし
CS01945,P014,2021-01-07,510,なし
CS01945,P021,2021-01-07,580,なし
CS01945,P015,2021-01-07,510,なし
CS01945,P011,2021-01-07,250,なし
CS00646,P020,2021-01-07,550,なし
CS00646,P015,2021-01-07,510,なし
CS00646,P018,2021-01-07,420,なし
CS02773,P005,2021-01-07,380,なし
CS02949,P022,2021-01-08,470,クーポンA
CS02423,P021,2021-01-08,580,なし
CS02423,P004,2021-01-08,380,なし
CS00233,P015,2021-01-08,510,なし
CS00654,P006,2021-01-08,360,なし
CS02505,P017,2021-01-08,280,クーポンA
CS02505,P003,2021-01-08,380,なし
CS02505,P012,2021-01-08,520,なし
CS02505,P023,2021-01-08,600,なし
CS02505,P000,2021-01-08,580,なし
CS02505,P019,2021-01-08,450,なし
CS01754,P003,2021-01-08,380,なし
CS01754,P022,2021-01-08,570,なし
CS01754,P018,2021-01-08,420,なし
CS01754,P007,2021-01-08,400,なし
CS01754,P001,2021-01-08,390,なし
CS01754,P007,2021-01-08,400,なし
CS01754,P020,2021-01-08,550,なし
CS01754,P002,2021-01-08,420,なし
CS01691,P012,2021-01-08,520,なし
CS01691,P020,2021-01-08,550,なし
CS01691,P008,2021-01-08,410,なし
CS01442,P001,2021-01-08,390,なし
CS01081,P017,2021-01-08,380,なし
CS01081,P015,2021-01-08,485,クーポンB
CS01565,P009,2021-01-08,290,なし
CS02561,P023,2021-01-09,600,なし
CS02561,P010,2021-01-09,220,なし
CS02561,P011,2021-01-09,250,なし
CS02561,P006,2021-01-09,360,なし
CS00974,P021,2021-01-09,580,なし
CS00777,P001,2021-01-09,390,なし
CS00777,P009,2021-01-09,290,なし
CS02860,P019,2021-01-09,450,なし
CS02860,P005,2021-01-09,380,なし
CS02860,P001,2021-01-09,390,なし
CS01393,P002,2021-01-09,420,なし
CS01883,P010,2021-01-09,220,なし
CS01883,P013,2021-01-09,550,なし
CS01883,P003,2021-01-09,380,なし
CS01883,P008,2021-01-09,410,なし
CS01883,P006,2021-01-09,360,なし
CS01883,P012,2021-01-09,520,なし
CS01883,P006,2021-01-09,360,なし
CS01883,P008,2021-01-09,390,クーポンB
CS01883,P003,2021-01-09,380,なし
CS01883,P018,2021-01-09,420,なし
CS01883,P021,2021-01-09,480,クーポンA
CS01883,P016,2021-01-09,350,なし
CS01883,P024,2021-01-09,630,なし
CS01883,P003,2021-01-09,380,なし
CS01883,P017,2021-01-09,380,なし
CS01883,P024,2021-01-09,630,なし
CS01883,P010,2021-01-09,220,なし
CS01883,P018,2021-01-09,420,なし
CS01883,P007,2021-01-09,400,なし
CS01883,P019,2021-01-09,450,なし
CS01883,P017,2021-01-09,380,なし
CS01883,P014,2021-01-09,510,なし
CS00492,P009,2021-01-09,276,クーポンB
CS02628,P004,2021-01-09,380,なし
CS00328,P024,2021-01-09,630,なし
CS00948,P019,2021-01-09,450,なし
CS00948,P017,2021-01-09,380,なし
CS00948,P006,2021-01-09,360,なし
CS00948,P024,2021-01-09,630,なし
CS00948,P006,2021-01-09,260,クーポンA
CS00948,P014,2021-01-09,510,なし
CS00948,P008,2021-01-09,410,なし
CS00948,P018,2021-01-09,420,なし
CS00948,P000,2021-01-09,580,なし
CS00948,P009,2021-01-09,290,なし
CS00948,P006,2021-01-09,360,なし
CS00948,P017,2021-01-09,380,なし
CS00948,P011,2021-01-09,250,なし
CS02706,P014,2021-01-09,510,なし
CS02706,P012,2021-01-09,520,なし
CS02706,P025,2021-01-09,870,なし
CS02706,P006,2021-01-09,360,なし
CS02706,P001,2021-01-09,390,なし
CS01442,P015,2021-01-09,510,なし
CS01442,P012,2021-01-09,520,なし
CS00834,P025,2021-01-09,870,なし
CS00834,P000,2021-01-09,580,なし
CS01309,P020,2021-01-09,550,なし
CS01309,P025,2021-01-09,870,なし
CS01309,P004,2021-01-09,380,なし
CS01309,P011,2021-01-09,250,なし
CS01261,P006,2021-01-09,360,なし
CS00417,P015,2021-01-10,510,なし
CS00417,P018,2021-01-10,420,なし
CS00417,P019,2021-01-10,450,なし
CS00417,P008,2021-01-10,410,なし
CS00417,P006,2021-01-10,360,なし
CS00417,P010,2021-01-10,220,なし
CS00417,P021,2021-01-10,580,なし
CS00417,P006,2021-01-10,360,なし
CS00417,P021,2021-01-10,580,なし
CS00417,P017,2021-01-10,380,なし
CS00417,P007,2021-01-10,400,なし
CS00417,P021,2021-01-10,580,なし
CS00417,P017,2021-01-10,380,なし
CS00417,P025,2021-01-10,870,なし
CS00417,P008,2021-01-10,410,なし
CS00417,P009,2021-01-10,290,なし
CS02112,P001,2021-01-10,390,なし
CS02112,P014,2021-01-10,510,なし
CS02112,P002,2021-01-10,420,なし
CS02112,P013,2021-01-10,450,クーポンA
CS00984,P021,2021-01-10,580,なし
CS00984,P015,2021-01-10,510,なし
CS00984,P019,2021-01-10,450,なし
CS00984,P018,2021-01-10,420,なし
CS00984,P015,2021-01-10,510,なし
CS00111,P015,2021-01-10,485,クーポンB
CS00111,P007,2021-01-10,400,なし
CS00111,P009,2021-01-10,276,クーポンB
CS00111,P016,2021-01-10,350,なし
CS00111,P017,2021-01-10,380,なし
CS00111,P021,2021-01-10,580,なし
CS00111,P005,2021-01-10,380,なし
CS00111,P023,2021-01-10,600,なし
CS00111,P021,2021-01-10,580,なし
CS00111,P007,2021-01-10,400,なし
CS00908,P020,2021-01-10,550,なし
CS00908,P000,2021-01-10,580,なし
CS00908,P002,2021-01-10,420,なし
CS01669,P004,2021-01-10,380,なし
CS01669,P006,2021-01-10,342,クーポンB
CS02035,P015,2021-01-10,510,なし
CS02035,P022,2021-01-10,570,なし
CS02035,P009,2021-01-10,290,なし
CS02570,P023,2021-01-10,600,なし
CS01130,P025,2021-01-10,870,なし
CS01130,P023,2021-01-10,600,なし
CS01130,P008,2021-01-10,410,なし
CS01130,P023,2021-01-10,600,なし
CS02387,P021,2021-01-10,580,なし
CS02387,P005,2021-01-10,380,なし
CS02387,P004,2021-01-10,380,なし
CS02387,P008,2021-01-10,410,なし
CS02387,P015,2021-01-10,510,なし
CS01418,P020,2021-01-10,550,なし
CS01418,P015,2021-01-10,510,なし
CS01418,P021,2021-01-10,580,なし
CS01261,P000,2021-01-10,580,なし
CS02050,P024,2021-01-10,630,なし
CS02050,P009,2021-01-10,290,なし
CS02050,P014,2021-01-10,510,なし
CS00529,P013,2021-01-10,523,クーポンB
CS00529,P024,2021-01-10,630,なし
CS02520,P014,2021-01-10,510,なし
CS02520,P009,2021-01-10,290,なし
CS02520,P024,2021-01-10,630,なし
CS02520,P024,2021-01-10,630,なし
CS01835,P023,2021-01-11,500,クーポンA
CS01098,P017,2021-01-11,380,なし
CS01098,P004,2021-01-11,380,なし
CS01098,P020,2021-01-11,550,なし
CS01098,P000,2021-01-11,580,なし
CS01098,P019,2021-01-11,450,なし
CS01098,P021,2021-01-11,580,なし
CS01098,P011,2021-01-11,250,なし
CS01098,P000,2021-01-11,580,なし
CS01098,P023,2021-01-11,600,なし
CS01098,P008,2021-01-11,410,なし
CS01098,P016,2021-01-11,350,なし
CS00762,P024,2021-01-11,630,なし
CS00762,P024,2021-01-11,630,なし
CS00762,P015,2021-01-11,510,なし
CS00762,P010,2021-01-11,220,なし
CS00762,P016,2021-01-11,350,なし
CS00762,P006,2021-01-11,260,クーポンA
CS00249,P025,2021-01-11,870,なし
CS00249,P005,2021-01-11,380,なし
CS00249,P000,2021-01-11,551,クーポンB
CS00249,P024,2021-01-11,630,なし
CS00249,P008,2021-01-11,410,なし
CS00249,P021,2021-01-11,580,なし
CS02270,P020,2021-01-11,550,なし
CS02270,P022,2021-01-11,570,なし
CS02270,P008,2021-01-11,410,なし
CS02270,P023,2021-01-11,600,なし
CS02270,P012,2021-01-11,520,なし
CS02270,P015,2021-01-11,510,なし
CS02983,P021,2021-01-11,580,なし
CS02983,P005,2021-01-11,361,クーポンB
CS02983,P003,2021-01-11,380,なし
CS01736,P014,2021-01-11,510,なし
CS01736,P005,2021-01-11,380,なし
CS01651,P007,2021-01-11,400,なし
CS01651,P025,2021-01-11,770,クーポンA
CS01651,P003,2021-01-11,380,なし
CS01651,P013,2021-01-11,450,クーポンA
CS01651,P008,2021-01-11,410,なし
CS01651,P004,2021-01-11,380,なし
CS01651,P011,2021-01-11,250,なし
CS02315,P013,2021-01-11,550,なし
CS00516,P000,2021-01-11,580,なし
CS00516,P025,2021-01-11,870,なし
CS00516,P016,2021-01-11,350,なし
CS00516,P011,2021-01-11,250,なし
CS00516,P018,2021-01-11,420,なし
CS00516,P008,2021-01-11,410,なし
CS00516,P024,2021-01-11,630,なし
CS00988,P009,2021-01-11,290,なし
CS00988,P022,2021-01-11,570,なし
CS00988,P000,2021-01-11,580,なし
CS01351,P006,2021-01-11,360,なし
CS01351,P002,2021-01-11,420,なし
CS01351,P007,2021-01-11,400,なし
CS00160,P012,2021-01-12,520,なし
CS02095,P002,2021-01-12,420,なし
CS01846,P020,2021-01-12,550,なし
CS01846,P000,2021-01-12,580,なし
CS01846,P001,2021-01-12,390,なし
CS01057,P007,2021-01-12,400,なし
CS01057,P025,2021-01-12,870,なし
CS01057,P017,2021-01-12,380,なし
CS02780,P015,2021-01-12,510,なし
CS02780,P014,2021-01-12,510,なし
CS02225,P001,2021-01-12,390,なし
CS02225,P022,2021-01-12,470,クーポンA
CS02225,P000,2021-01-12,580,なし
CS02225,P009,2021-01-12,290,なし
CS02225,P019,2021-01-12,450,なし
CS02225,P018,2021-01-12,320,クーポンA
CS02225,P002,2021-01-12,420,なし
CS02225,P010,2021-01-12,220,なし
CS02225,P010,2021-01-12,220,なし
CS02225,P022,2021-01-12,570,なし
CS00792,P008,2021-01-12,310,クーポンA
CS00792,P017,2021-01-12,380,なし
CS00792,P011,2021-01-12,250,なし
CS00792,P005,2021-01-12,361,クーポンB
CS00792,P012,2021-01-12,520,なし
CS00792,P000,2021-01-12,580,なし
CS00792,P003,2021-01-12,380,なし
CS00792,P001,2021-01-12,390,なし
CS00792,P009,2021-01-12,290,なし
CS00792,P018,2021-01-12,399,クーポンB
CS00540,P011,2021-01-12,150,クーポンA
CS00540,P014,2021-01-12,485,クーポンB
CS00747,P007,2021-01-12,400,なし
CS00290,P011,2021-01-12,250,なし
CS00290,P001,2021-01-12,390,なし
CS02759,P006,2021-01-12,360,なし
CS02759,P002,2021-01-12,420,なし
CS02759,P009,2021-01-12,190,クーポンA
CS02759,P002,2021-01-12,420,なし
CS00480,P012,2021-01-12,520,なし
CS00480,P008,2021-01-12,410,なし
CS00480,P008,2021-01-12,310,クーポンA
CS00480,P017,2021-01-12,380,なし
CS00480,P014,2021-01-12,510,なし
CS00480,P018,2021-01-12,420,なし
CS00480,P002,2021-01-12,420,なし
CS00480,P023,2021-01-12,600,なし
CS00480,P007,2021-01-12,400,なし
CS00480,P017,2021-01-12,280,クーポンA
CS00480,P001,2021-01-12,390,なし
CS00480,P017,2021-01-12,380,なし
CS00480,P005,2021-01-12,380,なし
CS02054,P001,2021-01-12,390,なし
CS02054,P000,2021-01-12,580,なし
CS02054,P005,2021-01-12,380,なし
CS02054,P010,2021-01-12,220,なし
CS02054,P023,2021-01-12,600,なし
CS02054,P013,2021-01-12,550,なし
CS02054,P002,2021-01-12,420,なし
CS02054,P025,2021-01-12,870,なし
CS02054,P000,2021-01-12,580,なし
CS02054,P012,2021-01-12,520,なし
CS02054,P007,2021-01-12,300,クーポンA
CS02054,P002,2021-01-12,420,なし
CS02054,P004,2021-01-12,380,なし
CS02054,P009,2021-01-12,290,なし
CS02054,P011,2021-01-12,250,なし
CS02054,P016,2021-01-12,350,なし
CS02054,P000,2021-01-12,580,なし
CS01706,P024,2021-01-12,630,なし
CS01056,P016,2021-01-12,350,なし
CS01406,P001,2021-01-13,390,なし
CS01406,P014,2021-01-13,510,なし
CS01406,P016,2021-01-13,350,なし
CS02224,P025,2021-01-13,870,なし
CS00749,P000,2021-01-13,580,なし
CS00749,P004,2021-01-13,380,なし
CS00749,P008,2021-01-13,410,なし
CS00749,P006,2021-01-13,360,なし
CS00749,P019,2021-01-13,450,なし
CS00749,P010,2021-01-13,220,なし
CS02339,P014,2021-01-13,510,なし
CS02339,P011,2021-01-13,250,なし
CS02339,P004,2021-01-13,380,なし
CS02339,P023,2021-01-13,600,なし
CS02339,P015,2021-01-13,510,なし
CS02339,P020,2021-01-13,550,なし
CS02339,P011,2021-01-13,250,なし
CS01435,P018,2021-01-13,420,なし
CS00162,P013,2021-01-13,550,なし
CS02943,P004,2021-01-14,380,なし
CS02943,P003,2021-01-14,380,なし
CS02943,P022,2021-01-14,570,なし
CS02943,P025,2021-01-14,770,クーポンA
CS02972,P006,2021-01-14,360,なし
CS00620,P015,2021-01-14,510,なし
CS00620,P020,2021-01-14,550,なし
CS01737,P004,2021-01-14,380,なし
CS00766,P021,2021-01-14,580,なし
CS00628,P012,2021-01-14,520,なし
CS00628,P014,2021-01-14,410,クーポンA
CS00628,P011,2021-01-14,250,なし
CS00628,P018,2021-01-14,320,クーポンA
CS00628,P024,2021-01-14,630,なし
CS01192,P022,2021-01-14,570,なし
CS01192,P024,2021-01-14,630,なし
CS01192,P012,2021-01-14,520,なし
CS00139,P021,2021-01-14,580,なし
CS00139,P020,2021-01-14,550,なし
CS00620,P015,2021-01-14,510,なし
CS01928,P020,2021-01-15,550,なし
CS01928,P014,2021-01-15,510,なし
CS01471,P013,2021-01-15,550,なし
CS01471,P006,2021-01-15,360,なし
CS02111,P017,2021-01-15,380,なし
CS02111,P003,2021-01-15,380,なし
CS00931,P000,2021-01-15,580,なし
CS02379,P018,2021-01-15,420,なし
CS02379,P012,2021-01-15,520,なし
CS02123,P025,2021-01-15,870,なし
CS02123,P009,2021-01-15,290,なし
CS02123,P000,2021-01-15,580,なし
CS02123,P000,2021-01-15,551,クーポンB
CS02123,P006,2021-01-15,360,なし
CS02123,P009,2021-01-15,290,なし
CS02123,P022,2021-01-15,570,なし
CS02123,P001,2021-01-15,390,なし
CS02123,P010,2021-01-15,209,クーポンB
CS02123,P010,2021-01-15,220,なし
CS02028,P017,2021-01-15,380,なし
CS02028,P004,2021-01-15,380,なし
CS02976,P024,2021-01-15,630,なし
CS02976,P007,2021-01-15,300,クーポンA
CS00633,P006,2021-01-15,360,なし
CS00479,P013,2021-01-16,550,なし
CS00479,P024,2021-01-16,630,なし
CS00479,P024,2021-01-16,630,なし
CS00479,P015,2021-01-16,510,なし
CS02319,P000,2021-01-16,580,なし
CS00172,P014,2021-01-16,510,なし
CS00172,P021,2021-01-16,580,なし
CS00172,P003,2021-01-16,380,なし
CS02951,P011,2021-01-16,250,なし
CS02951,P023,2021-01-16,600,なし
CS02951,P013,2021-01-16,550,なし
CS02951,P011,2021-01-16,250,なし
CS02944,P015,2021-01-16,510,なし
CS02435,P024,2021-01-16,599,クーポンB
CS02435,P018,2021-01-16,420,なし
CS02570,P016,2021-01-16,350,なし
CS00238,P003,2021-01-16,361,クーポンB
CS01585,P019,2021-01-16,350,クーポンA
CS01585,P024,2021-01-16,630,なし
CS00362,P003,2021-01-16,380,なし
CS01616,P007,2021-01-16,400,なし
CS02339,P006,2021-01-16,360,なし
CS02694,P013,2021-01-16,523,クーポンB
CS00955,P007,2021-01-16,400,なし
CS00955,P000,2021-01-16,580,なし
CS02485,P005,2021-01-17,380,なし
CS02485,P015,2021-01-17,510,なし
CS02485,P003,2021-01-17,380,なし
CS02485,P018,2021-01-17,420,なし
CS02485,P015,2021-01-17,510,なし
CS02485,P017,2021-01-17,380,なし
CS02485,P008,2021-01-17,410,なし
CS00592,P008,2021-01-17,410,なし
CS02110,P025,2021-01-17,870,なし
CS00823,P003,2021-01-17,380,なし
CS00823,P019,2021-01-17,450,なし
CS00823,P007,2021-01-17,400,なし
CS02107,P011,2021-01-17,250,なし
CS02570,P015,2021-01-17,510,なし
CS02570,P018,2021-01-17,420,なし
CS02570,P016,2021-01-17,350,なし
CS00250,P000,2021-01-17,580,なし
CS00250,P012,2021-01-17,520,なし
CS00250,P000,2021-01-17,580,なし
CS00250,P001,2021-01-17,390,なし
CS00250,P023,2021-01-17,600,なし
CS01276,P001,2021-01-17,390,なし
CS00101,P018,2021-01-17,420,なし
CS00290,P015,2021-01-17,510,なし
CS02837,P021,2021-01-17,580,なし
CS02498,P019,2021-01-17,450,なし
