å⁄ãqID,îNä‘óàìXâÒêî,îNä‘Ç®éxï•Ç¢äz
CS02819,8,12371
CS00979,1,520
CS02524,3,1950
CS01129,3,2580
CS00101,5,3690
CS01075,4,6590
CS01077,8,15328
CS01882,3,4409
CS01778,2,3750
CS01258,2,3150
CS01369,5,2740
CS01388,3,2651
CS02041,3,2880
CS00890,3,9962
CS00159,6,14680
CS00744,4,15875
CS00933,2,1270
CS02811,2,1040
CS00068,6,22106
CS01435,4,4910
CS00220,3,3610
CS02591,5,5290
CS02048,3,2300
CS00815,3,4071
CS01089,2,4790
CS01361,2,1908
CS00339,3,5820
CS02550,2,1240
CS01470,4,7409
CS02636,3,4051
CS00661,4,2630
CS01412,3,4091
CS00100,4,3050
CS00205,4,5210
CS00374,2,19314
CS00221,1,1340
CS02149,4,4128
CS01430,2,3380
CS00555,4,6679
CS01963,3,7580
CS02710,6,23570
CS01144,2,6190
CS01367,3,850
CS00245,5,7336
CS00599,2,890
CS01329,1,390
CS00045,4,5836
CS01791,1,13550
CS02095,5,19177
CS02948,4,2110
CS00990,4,2233
CS02929,2,1510
CS00749,4,6190
CS02087,3,3250
CS02931,3,4910
CS02215,3,5280
CS02315,2,940
CS02594,2,8820
CS01554,1,1980
CS02992,2,1460
CS00243,4,4530
CS00492,7,13445
CS02219,3,7730
CS01737,7,22380
CS01211,4,3090
CS02404,4,8663
CS00107,1,4300
CS01863,2,4161
CS01841,2,1312
CS00169,5,3830
CS02706,4,5732
CS01406,4,17516
CS01629,7,13966
CS01482,9,15373
CS00859,6,6449
CS02563,2,1530
CS01082,1,830
CS01380,3,7010
CS02430,3,4820
CS00598,3,3691
CS02672,2,5990
CS00847,7,9275
CS00297,4,4900
CS02054,3,12730
CS02884,3,4380
CS01451,1,2480
CS02526,2,1490
CS02253,3,2368
CS00375,3,3130
CS00609,4,4970
CS00642,3,12459
CS00641,1,360
CS01657,4,20166
CS00830,7,11575
CS02073,2,971
CS01140,3,13759
CS00489,11,18726
CS00233,5,9673
CS00776,1,600
CS02507,7,12440
CS01893,2,4886
CS00065,5,6750
CS01898,5,22118
CS01712,3,14550
CS01938,6,4630
CS01259,5,13545
CS00899,2,1130
CS01330,3,3251
CS02581,2,5471
CS01240,7,18793
CS01185,3,3150
CS01808,6,8660
CS02438,4,11770
CS01465,3,3110
CS00956,7,4461
CS01062,2,1170
CS02713,5,19288
CS00015,4,9240
CS02224,6,19931
CS00783,1,2080
CS00181,3,6890
CS02335,4,7590
CS02566,4,2788
CS02720,3,7145
CS01051,4,9582
CS02883,4,8540
CS01517,3,7101
CS02961,4,41124
CS01060,4,5235
CS02736,4,11910
CS00160,5,8740
CS02129,6,7040
CS01669,2,4522
CS00391,1,2190
CS00062,11,8400
CS00985,3,8260
CS02002,2,3303
CS02201,8,28166
CS01442,8,16116
CS00388,1,2700
CS00988,6,7379
CS01426,3,3339
CS00034,6,6710
CS01956,2,5880
CS01723,5,9190
CS01648,4,5620
CS01325,3,6665
CS00751,5,7430
CS02067,9,13110
CS02328,3,4600
CS02117,4,9669
CS01447,3,7780
CS01163,4,3470
CS00909,4,13755
CS01997,3,3500
CS00090,5,10036
CS00618,1,2713
CS02855,4,11674
CS01966,6,17183
CS01396,3,6460
CS00896,5,2960
CS00249,8,12444
CS00420,1,980
CS01122,3,4120
CS00745,3,11441
CS02392,2,1460
CS02724,2,3460
CS02422,5,6830
CS02270,3,6200
CS02915,3,1160
CS02511,3,1140
CS02311,2,901
CS02378,5,12970
CS01444,1,2660
CS01638,2,1171
CS00288,4,10113
CS01680,8,31549
CS00000,6,16142
CS01557,5,2470
CS02983,4,3841
CS01020,3,1690
CS00716,4,3840
CS00650,1,870
CS01449,4,10361
CS02666,4,6830
CS02366,2,11515
CS02816,1,6680
CS02504,2,3980
CS02445,1,2050
CS01093,4,5170
CS02099,1,2189
CS00124,4,4880
CS01152,1,350
CS02760,4,5129
CS00823,4,5621
CS02791,4,6030
CS00402,6,6157
CS01883,6,17248
CS02154,1,2740
CS00724,1,510
CS01945,3,3900
CS00020,4,5820
CS01101,4,5670
CS00853,4,11620
CS01538,4,6271
CS01201,5,3640
CS01918,4,5531
CS01995,2,2730
CS02394,7,15195
CS02513,3,8950
CS00251,3,5303
CS01577,1,420
CS02186,1,5060
CS00671,2,1530
CS00919,5,3480
CS00142,3,5881
CS01758,5,11895
CS00342,4,1980
CS01707,1,1080
CS02662,3,2250
CS00139,7,10230
CS00928,1,523
CS02640,4,3980
CS02225,4,9960
CS00173,2,1310
CS02839,3,8120
CS01419,3,2397
CS02407,5,4100
CS01891,4,5160
CS01438,5,25804
CS01192,4,8309
CS02107,3,1320
CS00319,2,2230
CS01280,7,20027
CS01264,4,18223
CS00157,6,12361
CS01299,4,12699
CS02756,4,7337
CS02685,1,350
CS00295,3,4630
CS00948,3,6791
CS01687,2,16921
CS00073,3,5071
CS01713,4,3230
CS01126,2,11830
CS00509,2,7041
CS01835,4,2495
CS01611,3,7360
CS00787,3,3210
CS00029,3,4462
CS00644,6,19992
CS02421,2,4050
CS01710,4,2400
CS00545,8,7580
CS02630,2,2150
CS02723,4,7771
CS01509,4,4100
CS01189,3,10610
CS02947,5,18328
CS00891,4,2921
CS00409,4,10891
CS02069,4,6102
CS02528,2,740
CS01950,4,5930
CS00264,2,3260
CS00779,5,6111
CS00031,3,2657
CS00259,2,3010
CS01456,6,3960
CS00135,6,13374
CS01504,2,1650
CS02815,1,1610
CS01604,4,2840
CS02553,2,2850
CS01695,1,4070
CS02485,6,9589
CS02508,3,4135
CS02715,2,2170
CS02123,5,9710
CS00915,6,22280
CS00908,9,18778
CS02865,6,5163
CS00796,6,8493
CS00878,2,1510
CS00935,4,7250
CS00475,2,1970
CS02415,4,11265
CS01752,2,2470
CS01834,2,2140
CS02793,3,12894
CS01212,2,6865
CS01867,4,11511
CS00626,3,4853
CS00978,1,780
CS00559,3,2071
CS02993,3,3284
CS00798,3,5450
CS00854,5,9710
CS01472,4,16970
CS00350,2,17528
CS00331,3,3990
CS00479,4,4674
CS02673,7,8200
CS00529,6,22803
CS00121,2,1090
CS00417,3,8330
CS01154,4,2560
CS02557,1,870
CS00349,7,5274
CS00123,3,2920
CS00421,1,360
CS00162,8,11590
CS00275,9,14836
CS00765,4,2710
CS01314,1,2501
CS00942,4,4545
CS01919,4,4837
CS02217,4,5543
CS02140,3,23497
CS02038,2,1560
CS02886,7,11847
CS00949,2,2850
CS00983,4,3480
CS02558,5,5609
CS02060,6,10197
CS02658,5,4271
CS01623,6,8291
CS02439,2,931
CS02844,4,13161
CS00132,4,8510
CS01308,1,1170
CS01214,5,8130
CS00573,2,3380
CS00104,3,3650
CS00333,4,13360
CS02260,5,5150
CS02423,2,1180
CS02103,6,6136
CS00353,2,2620
CS01195,4,7480
CS00280,3,2940
CS01068,5,11422
CS02536,7,13200
CS02182,6,8829
CS01797,3,2900
CS01309,2,12268
CS00892,3,1310
CS02628,4,2470
CS01967,3,3573
CS01812,10,17829
